,nav_true,nav_construct
max_drawdown_all,0.4256120431722168,0.2661749936880394
max_drawdown_test,0.3766416948150247,0.2643445882761908
shape_ratio_all,0.3778007983243464,1.2159682970155317
shape_ratio_test,0.41500565373401727,1.2450947752421049
max_drawdown_all,0.42561204317221596,0.26617499368803904
max_drawdown_test,0.3766416948150247,0.2643445882761908
shape_ratio_all,0.3786375773895536,1.220448374869724
shape_ratio_test,0.41500565373401727,1.2450947752421049
max_drawdown_all,0.4256120431722164,0.26617499368803926
max_drawdown_test,0.3766416948150247,0.2643445882761908
shape_ratio_all,0.38031863719930975,1.2937477316586707
shape_ratio_test,0.41500565373401727,1.2450947752421049
max_drawdown_all,0.4256120431722161,0.26617499368803954
max_drawdown_test,0.3766416948150247,0.2643445882761908
shape_ratio_all,0.38259791173911384,1.2869243967664676
shape_ratio_test,0.41500565373401727,1.2450947752421049
max_drawdown_all,0.42561204317221635,0.26617499368803954
max_drawdown_test,0.3766416948150247,0.2643445882761908
shape_ratio_all,0.3913948743185711,1.2694916715616547
shape_ratio_test,0.41500565373401727,1.2450947752421049
max_drawdown_all,0.42561204317221607,0.2661749936880395
max_drawdown_test,0.3766416948150247,0.2643445882761908
shape_ratio_all,0.3879905876052101,1.3932371720550996
shape_ratio_test,0.41500565373401727,1.2450947752421049
max_drawdown_all,0.42561204317221596,0.2661749936880395
max_drawdown_test,0.3766416948150247,0.2643445882761908
shape_ratio_all,0.3854597013855682,1.3936306104091238
shape_ratio_test,0.41500565373401727,1.2450947752421049
max_drawdown_all,0.4256120431722158,0.2661749936880395
max_drawdown_test,0.3766416948150247,0.2643445882761908
shape_ratio_all,0.39111339223917385,1.3940243822642273
shape_ratio_test,0.41500565373401727,1.2450947752421049
max_drawdown_all,0.4256120431722165,0.2661749936880395
max_drawdown_test,0.3766416948150247,0.2643445882761908
shape_ratio_all,0.38641546541010396,1.3944184880918389
shape_ratio_test,0.41500565373401727,1.2450947752421049
max_drawdown_all,0.42561204317221535,0.2661749936880395
max_drawdown_test,0.3766416948150247,0.2643445882761908
shape_ratio_all,0.37904638669315127,1.3948129283643096
shape_ratio_test,0.41500565373401727,1.2450947752421049
max_drawdown_all,0.42561204317221607,0.2661749936880395
max_drawdown_test,0.3766416948150247,0.2643445882761908
shape_ratio_all,0.38382397115468814,1.3952077035549413
shape_ratio_test,0.41500565373401727,1.2450947752421049
max_drawdown_all,0.4256120431722168,0.2661749936880395
max_drawdown_test,0.3766416948150247,0.2643445882761908
shape_ratio_all,0.36938566724111954,1.3956028141379664
shape_ratio_test,0.41500565373401727,1.2450947752421049
max_drawdown_all,0.4256120431722156,0.2661749936880395
max_drawdown_test,0.3766416948150247,0.2643445882761908
shape_ratio_all,0.37290982877689005,1.395998260588561
shape_ratio_test,0.41500565373401727,1.2450947752421049
max_drawdown_all,0.4256120431722159,0.2661749936880398
max_drawdown_test,0.3766416948150247,0.2643445882761908
shape_ratio_all,0.3782839385763257,1.3996709346648473
shape_ratio_test,0.41500565373401727,1.2450947752421049
max_drawdown_all,0.4256120431722152,0.2661749936880394
max_drawdown_test,0.3766416948150247,0.2643445882761908
shape_ratio_all,0.3740292794564686,1.1772368101588295
shape_ratio_test,0.41500565373401727,1.2450947752421049
max_drawdown_all,0.4256120431722164,0.2661749936880394
max_drawdown_test,0.3766416948150247,0.2643445882761908
shape_ratio_all,0.3756608446849498,1.1775702055714268
shape_ratio_test,0.41500565373401727,1.2450947752421049
max_drawdown_all,0.4256120431722163,0.2661749936880394
max_drawdown_test,0.3766416948150247,0.2643445882761908
shape_ratio_all,0.3835570806456364,1.1779038843999925
shape_ratio_test,0.41500565373401727,1.2450947752421049
max_drawdown_all,0.4256120431722167,0.2661749936880394
max_drawdown_test,0.3766416948150247,0.2643445882761908
shape_ratio_all,0.3894876312724094,1.17823784704631
shape_ratio_test,0.41500565373401727,1.2450947752421049
max_drawdown_all,0.4256120431722161,0.2661749936880394
max_drawdown_test,0.3766416948150247,0.2643445882761908
shape_ratio_all,0.39333770226987896,1.1785720939129507
shape_ratio_test,0.41500565373401727,1.2450947752421049
max_drawdown_all,0.42561204317221635,0.2661749936880394
max_drawdown_test,0.3766416948150247,0.2643445882761908
shape_ratio_all,0.3877609316767481,1.1789066254032914
shape_ratio_test,0.41500565373401727,1.2450947752421049
max_drawdown_all,0.42561204317221496,0.2661749936880394
max_drawdown_test,0.3766416948150247,0.2643445882761908
shape_ratio_all,0.3974463582083554,1.1792414419215098
shape_ratio_test,0.41500565373401727,1.2450947752421049
max_drawdown_all,0.4256120431722166,0.2661749936880394
max_drawdown_test,0.3766416948150247,0.2643445882761908
shape_ratio_all,0.39850799340237025,1.1795765438725896
shape_ratio_test,0.41500565373401727,1.2450947752421049
